`,name,unit,invert,weighting,type,min,max,description,detail,source,year
3.1.5a,Do teachers create learning content themselves? (Schools),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: Do you teach using digital content? Who provides/creates this content? (Includes digitised textbooks and other multimedia content) [Please select all that apply]
a. I don’t use digital content
b. Content is created by me
c. Content is provided by the government
d. Content is from private EdTech providers
e. Content is from other sources (for e.g., online resources)","0 = Teachers do not use digital content
 1 = Teachers use digital content, but the content is provided by the government, private EdTech providers or other sources (e.g. online resources)
 2 = Teachers create digital content themselves
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.5b,Do teachers create learning content themselves? (Universities),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: Do you teach using digital content? Who provides/creates this content? (Includes digitised textbooks and other multimedia content) [Please select all that apply]
a. I don’t use digital content
b. Content is created by me
c. Content is provided by the government
d. Content is from private EdTech providers
e. Content is from other sources (for e.g., online resources)","0 = Teachers do not use digital content
 1 = Teachers use digital content, but the content is provided by the government, private EdTech providers or other sources (e.g. online resources)
 2 = Teachers create digital content themselves
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.5c,Do teachers create learning content themselves? (TVET),Numerical score,,0.333,discrete,0,2,"The survey question corresponding to this is: Do you teach using digital content? Who provides/creates this content? (Includes digitised textbooks and other multimedia content) [Please select all that apply]
a. I don’t use digital content
b. Content is created by me
c. Content is provided by the government
d. Content is from private EdTech providers
e. Content is from other sources (for e.g., online resources)","0 = Teachers do not use digital content
 1 = Teachers use digital content, but the content is provided by the government, private EdTech providers or other sources (e.g. online resources)
 2 = Teachers create digital content themselves
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.6,What type of digital content is created by teachers? (Overall),Numerical score,,0.111,discrete,1,2,"The survey question corresponding to this is: Which of the following types of digital content are you able to create for teaching? (Please select all that apply)
a. PowerPoint slides / slideshow presentation      
b. Interactive content      
c. Graphs or charts      
d. Videos      
e. Online assessments","1 = Basic content (e.g. PowerPoint slides / slideshow presentation, Word documents)
 2 = Advanced content (e.g. interactive content, graphs/charts, videos)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.6a,What type of digital content is created by teachers? (Schools),Numerical score,,0.333,discrete,1,2,"The survey question corresponding to this is: Which of the following types of digital content are you able to create for teaching? (Please select all that apply)
a. PowerPoint slides / slideshow presentation      
b. Interactive content      
c. Graphs or charts      
d. Videos      
e. Online assessments","1 = Basic content (e.g. PowerPoint slides / slideshow presentation, Word documents)
 2 = Advanced content (e.g. interactive content, graphs/charts, videos)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.6b,What type of digital content is created by teachers? (Universities),Numerical score,,0.333,discrete,1,2,"The survey question corresponding to this is: Which of the following types of digital content are you able to create for teaching? (Please select all that apply)
a. PowerPoint slides / slideshow presentation      
b. Interactive content      
c. Graphs or charts      
d. Videos      
e. Online assessments","1 = Basic content (e.g. PowerPoint slides / slideshow presentation, Word documents)
 2 = Advanced content (e.g. interactive content, graphs/charts, videos)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.6c,What type of digital content is created by teachers? (TVET),Numerical score,,0.333,discrete,1,2,"The survey question corresponding to this is: Which of the following types of digital content are you able to create for teaching? (Please select all that apply)
a. PowerPoint slides / slideshow presentation      
b. Interactive content      
c. Graphs or charts      
d. Videos      
e. Online assessments","1 = Basic content (e.g. PowerPoint slides / slideshow presentation, Word documents)
 2 = Advanced content (e.g. interactive content, graphs/charts, videos)
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.7,% teachers creating online assessments (Overall),%,,0.111,continuous,0,100,"The survey question corresponding to this is: Which of the following types of digital content are you able to create for teaching? (Please select all that apply)
a. PowerPoint slides / slideshow presentation      
b. Interactive content      
c. Graphs or charts      
d. Videos      
e. Online assessments","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.7a,% teachers creating online assessments (Schools),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following types of digital content are you able to create for teaching? (Please select all that apply)
a. PowerPoint slides / slideshow presentation      
b. Interactive content      
c. Graphs or charts      
d. Videos      
e. Online assessments","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.7b,% teachers creating online assessments (Univeristies,%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following types of digital content are you able to create for teaching? (Please select all that apply)
a. PowerPoint slides / slideshow presentation      
b. Interactive content      
c. Graphs or charts      
d. Videos      
e. Online assessments","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.7c,% teachers creating online assessments (TVET),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following types of digital content are you able to create for teaching? (Please select all that apply)
a. PowerPoint slides / slideshow presentation      
b. Interactive content      
c. Graphs or charts      
d. Videos      
e. Online assessments","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.8,Do teachers engage their students in creative activities via digital media? (Overall),Numerical score,,0.111,discrete,0,3,"The survey question corresponding to this is: I engage my students in the following creative activities: [Please select all that apply]
a. Creating something using digital tools (programming, design content, etc...)
b. Solving problems using digital tools and resources
c. Experimenting with collaborative digital tools individually and/or in groups
d. Collaborative group projects that involve planning and evaluation 
e. None of the above","0 = No
 1 = Teachers engage students in creating something using digital tools (programming, design content, etc...)
 2 = Teachers engage students in solving problems using digital tools and resources
 3 = Teachers engage students in experimenting with collaborative digital tools individually and/or in groups
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.8a,Do teachers engage students in creative activities via digital media? (Schools),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: I engage my students in the following creative activities: [Please select all that apply]
a. Creating something using digital tools (programming, design content, etc...)
b. Solving problems using digital tools and resources
c. Experimenting with collaborative digital tools individually and/or in groups
d. Collaborative group projects that involve planning and evaluation 
e. None of the above","0 = No
 1 = Teachers engage students in creating something using digital tools (programming, design content, etc...)
 2 = Teachers engage students in solving problems using digital tools and resources
 3 = Teachers engage students in experimenting with collaborative digital tools individually and/or in groups
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.8b,Do teachers engage students in creative activities via digital media? (Universities),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: I engage my students in the following creative activities: [Please select all that apply]
a. Creating something using digital tools (programming, design content, etc...)
b. Solving problems using digital tools and resources
c. Experimenting with collaborative digital tools individually and/or in groups
d. Collaborative group projects that involve planning and evaluation 
e. None of the above","0 = No
 1 = Teachers engage students in creating something using digital tools (programming, design content, etc...)
 2 = Teachers engage students in solving problems using digital tools and resources
 3 = Teachers engage students in experimenting with collaborative digital tools individually and/or in groups
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.8c,Do teachers engage students in creative activities via digital media? (TVET),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: I engage my students in the following creative activities: [Please select all that apply]
a. Creating something using digital tools (programming, design content, etc...)
b. Solving problems using digital tools and resources
c. Experimenting with collaborative digital tools individually and/or in groups
d. Collaborative group projects that involve planning and evaluation 
e. None of the above","0 = No
 1 = Teachers engage students in creating something using digital tools (programming, design content, etc...)
 2 = Teachers engage students in solving problems using digital tools and resources
 3 = Teachers engage students in experimenting with collaborative digital tools individually and/or in groups
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.9,Do teachers engage their students in research activities via digital media? (Overall),Numerical score,,0.111,discrete,0,3,"The survey question corresponding to this is: I demonstrate how to conduct online research in the following ways: [Please select all that apply]
a. Finding information related to a task or assignment on the internet
b. Determining whether an online source is reliable
c. Producing a report by synthesizing (combining) information from various online sources 
d. None of the above","0 = No 
 1 = Teachers engage students in finding information related to a task or assignment on the internet
 2 = Teachers engage students in determining whether an online source is reliable
 3 = Teachers engage students in producing a report by synthesizing (combining) information from various online sources
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.9a,Do teachers engage students in research via digital media? (Schools),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: I demonstrate how to conduct online research in the following ways: [Please select all that apply]
a. Finding information related to a task or assignment on the internet
b. Determining whether an online source is reliable
c. Producing a report by synthesizing (combining) information from various online sources 
d. None of the above","0 = No 
 1 = Teachers engage students in finding information related to a task or assignment on the internet
 2 = Teachers engage students in determining whether an online source is reliable
 3 = Teachers engage students in producing a report by synthesizing (combining) information from various online sources
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.9b,Do teachers engage students in research via digital media? (Universities,Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: I demonstrate how to conduct online research in the following ways: [Please select all that apply]
a. Finding information related to a task or assignment on the internet
b. Determining whether an online source is reliable
c. Producing a report by synthesizing (combining) information from various online sources 
d. None of the above","0 = No 
 1 = Teachers engage students in finding information related to a task or assignment on the internet
 2 = Teachers engage students in determining whether an online source is reliable
 3 = Teachers engage students in producing a report by synthesizing (combining) information from various online sources
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.1.9c,Do teachers engage students in research via digital media? (TVET),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: I demonstrate how to conduct online research in the following ways: [Please select all that apply]
a. Finding information related to a task or assignment on the internet
b. Determining whether an online source is reliable
c. Producing a report by synthesizing (combining) information from various online sources 
d. None of the above","0 = No 
 1 = Teachers engage students in finding information related to a task or assignment on the internet
 2 = Teachers engage students in determining whether an online source is reliable
 3 = Teachers engage students in producing a report by synthesizing (combining) information from various online sources
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.1,% teachers with access to a computer or laptop at home (Overall),%,,0.125,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do you have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet
c. Computer/laptop 
d. TV 
e. Radio 
f. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.1a,% teachers with access to a computer or laptop at home (Schools),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do you have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet
c. Computer/laptop 
d. TV 
e. Radio 
f. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.1b,% teachers with access to a computer or laptop at home (Universities),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do you have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet
c. Computer/laptop 
d. TV 
e. Radio 
f. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.1c,% teachers with access to a computer or laptop at home (TVET),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do you have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet
c. Computer/laptop 
d. TV 
e. Radio 
f. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.2,% teachers with access to a smartphone at home (Overall),%,,0.125,continuous,0,100,"The survey questions corresponding to this are: Which of the following devices do you have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet
c. Computer/laptop 
d. TV 
e. Radio 
f. None

4. Which of the following devices do you have access to at school/university/TVET institution? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. Smartboard (digital whiteboard) 
g. Projector
h. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.2a,% teachers with access to a smartphone at home (Schools),%,,0.333,continuous,0,100,"The survey questions corresponding to this are: Which of the following devices do you have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet
c. Computer/laptop 
d. TV 
e. Radio 
f. None

4. Which of the following devices do you have access to at school/university/TVET institution? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. Smartboard (digital whiteboard) 
g. Projector
h. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.2b,% teachers with access to a smartphone at home (Universities),%,,0.333,continuous,0,100,"The survey questions corresponding to this are: Which of the following devices do you have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet
c. Computer/laptop 
d. TV 
e. Radio 
f. None

4. Which of the following devices do you have access to at school/university/TVET institution? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. Smartboard (digital whiteboard) 
g. Projector
h. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.2c,% teachers with access to a smartphone at home (TVET),%,,0.333,continuous,0,100,"The survey questions corresponding to this are: Which of the following devices do you have access to at home? [Please select all that apply]
a. Smartphone 
b. Tablet
c. Computer/laptop 
d. TV 
e. Radio 
f. None

4. Which of the following devices do you have access to at school/university/TVET institution? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. Smartboard (digital whiteboard) 
g. Projector
h. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.3,"% teachers with access to a computer, laptop or tablet at school (Overall)",%,,0.125,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do you have access to at school/university/TVET institution? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. Smartboard (digital whiteboard) 
g. Projector
h. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.3a,% teachers with access to a computer or laptop at school (Schools),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do you have access to at school/university/TVET institution? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. Smartboard (digital whiteboard) 
g. Projector
h. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.3b,% teachers with access to a computer or laptop at school (Universities),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do you have access to at school/university/TVET institution? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. Smartboard (digital whiteboard) 
g. Projector
h. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.3c,% teachers with access to a computer or laptop at school (TVET),%,,0.333,continuous,0,100,"The survey question corresponding to this is: Which of the following devices do you have access to at school/university/TVET institution? [Please select all that apply]
a. Smartphone 
b. Tablet 
c. Computer/laptop 
d. TV 
e. Radio 
f. Smartboard (digital whiteboard) 
g. Projector
h. None","Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.4,Is mobile internet highly accessible to teachers? (Overall),Numerical score,,0.125,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.4a,Is mobile internet highly accessible to teachers? (Schools),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.4b,Is mobile internet highly accessible to teachers? (Universities),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.4c,Is mobile internet highly accessible to teachers? (TVET),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.5,Is broadband internet at home highly accessible to teachers? (Overall),Numerical score,,0.125,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.5a,Is broadband internet at home highly accessible to teachers? (Schools),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.5b,Is broadband internet at home highly accessible to teachers? (Universities),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.5c,Is broadband internet at home highly accessible to teachers? (TVET),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.6,Is broadband internet at school/university/TVET institution highly accessible to teachers? (Overall),Numerical score,,0.125,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
3.2.6a,Is broadband internet at school/university/TVET institution highly accessible to teachers? (Schools),Numerical score,,0.333,discrete,0,3,"The survey question corresponding to this is: How often do you have access to each of the following internet sources? (Please answer all that apply)
a. Mobile (3G / 4G) [Never Rarely Occasionally Often Always]
b. Home (broadband speeds) [Never Rarely Occasionally Often Always]
c. School/university/TVET institution(broadband speeds) [Never Rarely Occasionally Often Always]
d. Community access point [Never Rarely Occasionally Often Always]","0 = Never/Rarely
 1 = Occassionaly 
 2 = Often
 3 = Always
 
 Linear transformation of data values to scale 0-100, where 100 = most digital education readiness. Minimum and maximum thresholds are calculated from the minimum and maximum data values recorded across all countries in the index. The country with the highest data value scores 100 and the country with the lowest data value scores 0.",Economist Impact Digital Education Readiness Survey 2021,2021
