SeriesID,SeriesCode,ParentCode,Depth,HasData,IsDependent,IndexNumber,IndicatorName,Unit,Source,Description,Notes,Minimum,Maximum,Pre_Round,Polarity,ScoringSystem,ScoringParameter_1,ScoringParameter_2,ScoringParameter_3,Data_Type,DP,ZERO,ONE,TWO,THREE,FOUR,FIVE,SIX,DP,NumberedSeries,NumberFormat,Children,Parent,ScoreSummary,ScoreExplanation,Qual_Key,IndicatorTypeDescription,,DEFAULT_WEIGHT_NOMINAL,DEFAULT_WEIGHT_PERCENT
22,QLIA,AVAILABILITY_03,3,1,0,1.3.5,Government initiatives to make Wi-Fi available,"Qualitative rating 0-2, 2=best",EIU,Does the government provide public Wi-Fi access in the largest city in the country and is it free to connect to? ,"Assesses whether the network is free to join or not. _Public_ means that the Wi-Fi network and associated hotspot(s) must be accessible in a public park, library, public building, airport, train or ferry terminal.   ""Largest city"" means largest city in the country by population.",0,2,Yes,1,3,0,2,,2,0,"No, the government does not provide public Wi-Fi access in the largest city in the country","Yes, the government does provide public Wi-Fi access in the largest city in the country","Yes, the government does provide public Wi-Fi access in the largest city and the country and it is free",,,,,,1.3.5) Government initiatives to make Wi-Fi available,"#,##0",,AVAILABILITY -> INFRASTRUCTURE,,"QUALITATIVE DATA INDICATOR{NL}{NL}Does the government provide public Wi-Fi access in the largest city in the country and is it free to connect to? {NL}{NL}Assesses whether the network is free to join or not. _Public_ means that the Wi-Fi network and associated hotspot(s) must be accessible in a public park, library, public building, airport, train or ferry terminal.   ""Largest city"" means largest city in the country by population.{NL}{NL}UNDERLYING DATA SERIES{NL}Government initiatives to make Wi-Fi available, Qualitative rating 0-2, 2=best{NL}{NL}0 = No, the government does not provide public Wi-Fi access in the largest city in the country{NL}1 = Yes, the government does provide public Wi-Fi access in the largest city in the country{NL}2 = Yes, the government does provide public Wi-Fi access in the largest city and the country and it is free{NL}{NL}SOURCE{NL}EIU",,QUALITATIVE DATA INDICATOR,,1,0.181818182
23,QLIB,AVAILABILITY_03,3,1,0,1.3.6,Private sector initiatives to make Wi-Fi available,"Qualitative rating 0-2, 2=best",EIU,Does the largest privately-owned ISP provide public Wi-Fi access to its customers in the largest city in the country and is it free to connect to?,"Assesses whether the network is free to join or not and whether the public Wi-Fi is available to anyone (general population, tourists, etc.) or just to customers of the largest ISP in the country. The largest ISP means the largest private-sector run ISP, not state-owned. ""Public"" means that the Wi-Fi network and associated hotspot(s) must be accessible in a public park, library, public building, airport, train or ferry terminal.  ""Largest city"" means largest city in the country by population.",0,2,Yes,1,3,0,2,,2,0,"No, the largest privately-owned ISP does not provide public Wi-Fi access in the largest city in the country, nor does any other privately-owned ISP","Yes, either the largest privately-owned ISP or other privately-owned ISPs do provide public Wi-Fi access in the largest city in the country","Yes, either the largest privately-owned ISP or other privately-owned ISPs do provide public Wi-Fi access in the largest city in the country and it is free",,,,,,1.3.6) Private sector initiatives to make Wi-Fi available,"#,##0",,AVAILABILITY -> INFRASTRUCTURE,,"QUALITATIVE DATA INDICATOR{NL}{NL}Does the largest privately-owned ISP provide public Wi-Fi access to its customers in the largest city in the country and is it free to connect to?{NL}{NL}Assesses whether the network is free to join or not and whether the public Wi-Fi is available to anyone (general population, tourists, etc.) or just to customers of the largest ISP in the country. The largest ISP means the largest private-sector run ISP, not state-owned. ""Public"" means that the Wi-Fi network and associated hotspot(s) must be accessible in a public park, library, public building, airport, train or ferry terminal.  ""Largest city"" means largest city in the country by population.{NL}{NL}UNDERLYING DATA SERIES{NL}Private sector initiatives to make Wi-Fi available, Qualitative rating 0-2, 2=best{NL}{NL}0 = No, the largest privately-owned ISP does not provide public Wi-Fi access in the largest city in the country, nor does any other privately-owned ISP{NL}1 = Yes, either the largest privately-owned ISP or other privately-owned ISPs do provide public Wi-Fi access in the largest city in the country{NL}2 = Yes, either the largest privately-owned ISP or other privately-owned ISPs do provide public Wi-Fi access in the largest city in the country and it is free{NL}{NL}SOURCE{NL}EIU",,QUALITATIVE DATA INDICATOR,,1,0.181818182
24,IXPS,AVAILABILITY_03,3,1,0,1.3.7,Internet exchange points,Number of IXPs per 10 million inhabitants,EIU; PCH; PeeringDB; Telegeography,Measures the number of Internet exchange points (IXPs) in each country,IXPs are physical network access point through which major network providers connect their networks and exchange traffic. This indicator accounts for only those IXPs that are considered active.,0,30.33,Yes,1,2,,,,1,2,,,,,,,,,1.3.7) Internet exchange points,"#,0.00",1.4.1) Urban electricity access{NL}1.4.2) Rural electricity access{NL},AVAILABILITY -> INFRASTRUCTURE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Measures the number of Internet exchange points (IXPs) in each country{NL}{NL}IXPs are physical network access point through which major network providers connect their networks and exchange traffic. This indicator accounts for only those IXPs that are considered active.{NL}{NL}UNDERLYING DATA SERIES{NL}Internet exchange points, Number of IXPs per 10 million inhabitants{NL}{NL}SOURCE{NL}EIU; PCH; PeeringDB; Telegeography",,QUANTITATIVE DATA INDICATOR,,1,0.181818182
25,AVAILABILITY_04,AVAILABILITY,2,0,0,1.4,Electricity,,,Electricity measures the basic infrastructure necessary to support Internet connectivity.,,,,,1,1,,,,,1,,,,,,,,,1.4) ELECTRICITY,"#,0.0",1.4.1) Urban electricity access{NL}1.4.2) Rural electricity access{NL},AVAILABILITY,,COMPOSITE SUB-CATEGORY SCORE{NL}{NL}Electricity measures the basic infrastructure necessary to support Internet connectivity.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}1.4.1) Urban electricity access{NL}1.4.2) Rural electricity access{NL}{NL}{NL}SOURCE{NL}EIU calculation,,COMPOSITE SUB-CATEGORY SCORE,,1,0.25
26,ELUR,AVAILABILITY_04,3,1,0,1.4.1,Urban electricity access,% of population,WEO-IEA; World Bank; World Energy Council,Urban electrification rate (%),"Access to electricity is calculated as the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.",16.7,100,Yes,1,2,,,,1,2,,,,,,,,,1.4.1) Urban electricity access,"#,0.00",1.4.1) Urban electricity access{NL}1.4.2) Rural electricity access{NL},AVAILABILITY -> ELECTRICITY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Urban electrification rate (%){NL}{NL}Access to electricity is calculated as the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.{NL}{NL}UNDERLYING DATA SERIES{NL}Urban electricity access, % of population{NL}{NL}SOURCE{NL}WEO-IEA; World Bank; World Energy Council",,QUANTITATIVE DATA INDICATOR,,1,0.5
27,ELRU,AVAILABILITY_04,3,1,0,1.4.2,Rural electricity access,% of population,WEO-IEA; World Bank; World Energy Council,Rural electrification rate (%),"Access to electricity is calculated as the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.",1.6,100,Yes,1,2,,,,1,2,,,,,,,,,1.4.2) Rural electricity access,"#,0.00",2.1) PRICE{NL}2.2) COMPETITIVE ENVIRONMENT{NL},AVAILABILITY -> ELECTRICITY,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Rural electrification rate (%){NL}{NL}Access to electricity is calculated as the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.{NL}{NL}UNDERLYING DATA SERIES{NL}Rural electricity access, % of population{NL}{NL}SOURCE{NL}WEO-IEA; World Bank; World Energy Council",,QUANTITATIVE DATA INDICATOR,,1,0.5
28,AFFORDABILITY,OVERALL,1,0,0,2,Affordability,,,This category examines the cost of access relative to income and the level of competition in the Internet marketplace.,,,,,1,1,,,,,1,,,,,,,,,2) AFFORDABILITY,"#,0.0",2.1) PRICE{NL}2.2) COMPETITIVE ENVIRONMENT{NL},,,COMPOSITE CATEGORY SCORE{NL}{NL}This category examines the cost of access relative to income and the level of competition in the Internet marketplace.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}2.1) PRICE{NL}2.2) COMPETITIVE ENVIRONMENT{NL}{NL}{NL}SOURCE{NL}EIU calculation,,COMPOSITE CATEGORY SCORE,,3,0.3
29,AFFORDABILITY_01,AFFORDABILITY,2,0,0,2.1,Price,,,Price measures the cost of Internet access relative to income.,,,,,1,1,,,,,1,,,,,,,,,2.1) PRICE,"#,0.0",2.1.1) Smartphone cost (handset){NL}2.1.2) Mobile phone cost (prepaid tariff){NL}2.1.3) Mobile phone cost (postpaid tariff){NL}2.1.4) Fixed-line monthly broadband cost{NL},AFFORDABILITY,,COMPOSITE SUB-CATEGORY SCORE{NL}{NL}Price measures the cost of Internet access relative to income.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}2.1.1) Smartphone cost (handset){NL}2.1.2) Mobile phone cost (prepaid tariff){NL}2.1.3) Mobile phone cost (postpaid tariff){NL}2.1.4) Fixed-line monthly broadband cost{NL}{NL}{NL}SOURCE{NL}EIU calculation,,COMPOSITE SUB-CATEGORY SCORE,,1,0.666666667
30,SCHB,AFFORDABILITY_01,3,1,0,2.1.1,Smartphone cost (handset),"Score of 0-100, 100=most affordable",EIU; GSMA,"Indexed scores of the price of entry-level handset to the consumer, as a percentage of GNI per capita","Assesses the cost of an entry-level handset that is internet-enabled, expressed as a percentage of monthly GNI per capita.

Note: This indicator is based on the Mobile Connectivity Index, developed by GSMA. Given changes to the Mobile Connectivity Index over time (e.g., addition or removal of countries from year to year), scores for countries may not be directly comparable between different iterations. As a result, YoY comparisons for this indicator are not available in the Inclusive Internet Index.",0,99.5,NO,1,2,,,,1,1,,,,,,,,,2.1.1) Smartphone cost (handset),"#,0.0",2.1.1) Smartphone cost (handset){NL}2.1.2) Mobile phone cost (prepaid tariff){NL}2.1.3) Mobile phone cost (postpaid tariff){NL}2.1.4) Fixed-line monthly broadband cost{NL},AFFORDABILITY -> PRICE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Indexed scores of the price of entry-level handset to the consumer, as a percentage of GNI per capita{NL}{NL}Assesses the cost of an entry-level handset that is internet-enabled, expressed as a percentage of monthly GNI per capita.

Note: This indicator is based on the Mobile Connectivity Index, developed by GSMA. Given changes to the Mobile Connectivity Index over time (e.g., addition or removal of countries from year to year), scores for countries may not be directly comparable between different iterations. As a result, YoY comparisons for this indicator are not available in the Inclusive Internet Index.{NL}{NL}UNDERLYING DATA SERIES{NL}Smartphone cost (handset), Score of 0-100, 100=most affordable{NL}{NL}SOURCE{NL}EIU; GSMA",,QUANTITATIVE DATA INDICATOR,,1,0.25
31,MPRE,AFFORDABILITY_01,3,1,0,2.1.2,Mobile phone cost (prepaid tariff),% of monthly GNI per capita,A4AI; EIU; ITU,"Price of prepaid mobile data plan, 1 GB, as a percentage of monthly income","Monthly cost of a 1 GB prepaid mobile broadband data plan, expressed as a percentage of monthly GNI per capita.

Note: This indicator was updated in the fourth edition to capture the cost of a 1 GB plan. It previously captured the cost of a 500 MB plan.",0.1,19.78,NO,2,2,,,,1,2,,,,,,,,,2.1.2) Mobile phone cost (prepaid tariff),"#,0.00",,AFFORDABILITY -> PRICE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Price of prepaid mobile data plan, 1 GB, as a percentage of monthly income{NL}{NL}Monthly cost of a 1 GB prepaid mobile broadband data plan, expressed as a percentage of monthly GNI per capita.

Note: This indicator was updated in the fourth edition to capture the cost of a 1 GB plan. It previously captured the cost of a 500 MB plan.{NL}{NL}UNDERLYING DATA SERIES{NL}Mobile phone cost (prepaid tariff), % of monthly GNI per capita{NL}{NL}SOURCE{NL}A4AI; EIU; ITU",,QUANTITATIVE DATA INDICATOR,,1,0.25
32,MPST,AFFORDABILITY_01,3,1,0,2.1.3,Mobile phone cost (postpaid tariff),% of monthly GNI per capita,EIU; ITU; National Communications Commission,"Price of postpaid mobile data plan, 1 GB, as a percentage of monthly income","Monthly cost of a 1 GB postpaid mobile broadband data plan, expressed as a percentage of monthly GNI per capita.

Note: This indicator was updated in the fourth edition to capture the cost of a 1 GB plan. It previously captured the cost of a 500 MB plan.",0,35.58,NO,2,2,,,,1,2,,,,,,,,,2.1.3) Mobile phone cost (postpaid tariff),"#,0.00",,AFFORDABILITY -> PRICE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Price of postpaid mobile data plan, 1 GB, as a percentage of monthly income{NL}{NL}Monthly cost of a 1 GB postpaid mobile broadband data plan, expressed as a percentage of monthly GNI per capita.

Note: This indicator was updated in the fourth edition to capture the cost of a 1 GB plan. It previously captured the cost of a 500 MB plan.{NL}{NL}UNDERLYING DATA SERIES{NL}Mobile phone cost (postpaid tariff), % of monthly GNI per capita{NL}{NL}SOURCE{NL}EIU; ITU; National Communications Commission",,QUANTITATIVE DATA INDICATOR,,1,0.25
33,FBBU,AFFORDABILITY_01,3,1,0,2.1.4,Fixed-line monthly broadband cost,% of monthly GNI per capita,"ITU, National Statistics, Republic of China (Taiwan); ITU, UN; ITU, World Bank, WDI",Price of fixed-line monthly broadband to the consumer as a percentage of monthly income,Fixed (wired)-broadband monthly subscription charge refers to the monthly subscription charge for fixed (wired); broadband Internet service. Fixed (wired) broadband is considered to be any dedicated connection to the Internet at; downstream speeds equal to;  or greater than;  256 kbit/s. If several offers are available;  preference should be given to; the 256 kbit/s connection. (in USD),0.35,600,Yes,2,2,,,,1,2,,,,,,,,,2.1.4) Fixed-line monthly broadband cost,"#,0.00","2.2.1) Average revenue per user (ARPU, annualized){NL}2.2.2) Wireless operators' market share{NL}2.2.3) Broadband operators' market share{NL}",AFFORDABILITY -> PRICE,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Price of fixed-line monthly broadband to the consumer as a percentage of monthly income{NL}{NL}Fixed (wired)-broadband monthly subscription charge refers to the monthly subscription charge for fixed (wired); broadband Internet service. Fixed (wired) broadband is considered to be any dedicated connection to the Internet at; downstream speeds equal to;  or greater than;  256 kbit/s. If several offers are available;  preference should be given to; the 256 kbit/s connection. (in USD){NL}{NL}UNDERLYING DATA SERIES{NL}Fixed-line monthly broadband cost, % of monthly GNI per capita{NL}{NL}SOURCE{NL}ITU, National Statistics, Republic of China (Taiwan); ITU, UN; ITU, World Bank, WDI",,QUANTITATIVE DATA INDICATOR,,1,0.25
34,AFFORDABILITY_02,AFFORDABILITY,2,0,0,2.2,Competitive Environment,,,Competitive environment measures the concentration of the marketplace for Internet service provision.,,,,,1,1,,,,,1,,,,,,,,,2.2) COMPETITIVE ENVIRONMENT,"#,0.0","2.2.1) Average revenue per user (ARPU, annualized){NL}2.2.2) Wireless operators' market share{NL}2.2.3) Broadband operators' market share{NL}",AFFORDABILITY,,"COMPOSITE SUB-CATEGORY SCORE{NL}{NL}Competitive environment measures the concentration of the marketplace for Internet service provision.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}2.2.1) Average revenue per user (ARPU, annualized){NL}2.2.2) Wireless operators' market share{NL}2.2.3) Broadband operators' market share{NL}{NL}{NL}SOURCE{NL}EIU calculation",,COMPOSITE SUB-CATEGORY SCORE,,0.5,0.333333333
35,ARPU,AFFORDABILITY_02,3,1,0,2.2.1,"Average revenue per user (ARPU, annualized)",USD,Axiata; GSMA; GSMA Intelligence; ITU; TNM; Telegeography,Average annual revenue per user (ARPU) for wireless operators,ARPU is the annual average revenue per user calculated over the given period (twelve months for annual data). ARPU is used to measure consumer spending on mobile services. This measure of ARPU is 'Blended_ which means that both pre-paid and post-paid subscribers are being counted in the metric. The metric includes data and voice.,8.4,652.8,Yes,1,2,,,,1,1,,,,,,,,,"2.2.1) Average revenue per user (ARPU, annualized)","#,0.0","2.2.1) Average revenue per user (ARPU, annualized){NL}2.2.2) Wireless operators' market share{NL}2.2.3) Broadband operators' market share{NL}",AFFORDABILITY -> COMPETITIVE ENVIRONMENT,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Average annual revenue per user (ARPU) for wireless operators{NL}{NL}ARPU is the annual average revenue per user calculated over the given period (twelve months for annual data). ARPU is used to measure consumer spending on mobile services. This measure of ARPU is 'Blended_ which means that both pre-paid and post-paid subscribers are being counted in the metric. The metric includes data and voice.{NL}{NL}UNDERLYING DATA SERIES{NL}Average revenue per user (ARPU, annualized), USD{NL}{NL}SOURCE{NL}Axiata; GSMA; GSMA Intelligence; ITU; TNM; Telegeography",,QUANTITATIVE DATA INDICATOR,,0.5,0.2
36,WLHH,AFFORDABILITY_02,3,1,0,2.2.2,Wireless operators' market share,"HHI score (0-10,000)",Telegeography,"Measures the market concentration among all wireless operators. EIU calculates the Hirschman-Herfindahl Index which measures the concentration of markets as follows: HHI < 3,000 _unconcentrated_; HHI 3,000-4,000 _moderately concentrated_; HHI > 4,000 _highly concentrated_.","Wireless operators include those that provide 2G, 3G and 4G coverage via GSM, CDMA, W-CDMA, and LTE networks.",2455,10000,Yes,2,4,0,3000,4000,1,0,HHI>4000,HHI 3000-4000,HHI<3000,,,,,,2.2.2) Wireless operators' market share,"#,##0",,AFFORDABILITY -> COMPETITIVE ENVIRONMENT,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Measures the market concentration among all wireless operators. EIU calculates the Hirschman-Herfindahl Index which measures the concentration of markets as follows: HHI < 3,000 _unconcentrated_; HHI 3,000-4,000 _moderately concentrated_; HHI > 4,000 _highly concentrated_.{NL}{NL}Wireless operators include those that provide 2G, 3G and 4G coverage via GSM, CDMA, W-CDMA, and LTE networks.{NL}{NL}UNDERLYING DATA SERIES{NL}Wireless operators' market share, HHI score (0-10,000){NL}{NL}SOURCE{NL}Telegeography",,QUANTITATIVE DATA INDICATOR,,1,0.4
37,BBHH,AFFORDABILITY_02,3,1,0,2.2.3,Broadband operators' market share,"HHI score (0-10,000)",EIU; Telegeography,"Measures the market concentration among all broadband operators. EIU calculates the Hirschman-Herfindahl Index which measures the concentration of markets as follows: HHI < 3,000 _unconcentrated_; HHI 3,000-4,000 _moderately concentrated_; HHI > 4,000 _highly concentrated_.","Broadband operators include those that provide broadband via the following technologies: DSL, cable, fiber/LAN, and WiMax, and others (eg satellite, broadband over powerline).",1482,10000,Yes,2,4,0,3000,4000,1,0,HHI>4000,HHI 3000-4000,HHI<3000,,,,,,2.2.3) Broadband operators' market share,"#,##0",3.1) LOCAL CONTENT{NL}3.2) RELEVANT CONTENT{NL},AFFORDABILITY -> COMPETITIVE ENVIRONMENT,,"QUANTITATIVE DATA INDICATOR{NL}{NL}Measures the market concentration among all broadband operators. EIU calculates the Hirschman-Herfindahl Index which measures the concentration of markets as follows: HHI < 3,000 _unconcentrated_; HHI 3,000-4,000 _moderately concentrated_; HHI > 4,000 _highly concentrated_.{NL}{NL}Broadband operators include those that provide broadband via the following technologies: DSL, cable, fiber/LAN, and WiMax, and others (eg satellite, broadband over powerline).{NL}{NL}UNDERLYING DATA SERIES{NL}Broadband operators' market share, HHI score (0-10,000){NL}{NL}SOURCE{NL}EIU; Telegeography",,QUANTITATIVE DATA INDICATOR,,1,0.4
38,RELEVANCE,OVERALL,1,0,0,3,Relevance,,,This category examines the existence and extent of local language content and relevant content.,,,,,1,1,,,,,1,,,,,,,,,3) RELEVANCE,"#,0.0",3.1) LOCAL CONTENT{NL}3.2) RELEVANT CONTENT{NL},,,COMPOSITE CATEGORY SCORE{NL}{NL}This category examines the existence and extent of local language content and relevant content.{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}3.1) LOCAL CONTENT{NL}3.2) RELEVANT CONTENT{NL}{NL}{NL}SOURCE{NL}EIU calculation,,COMPOSITE CATEGORY SCORE,,2,0.2
39,RELEVANCE_01,RELEVANCE,2,0,0,3.1,Local Content,,,Local content measures the availability of Internet content in the local language(s).,,,,,1,1,,,,,1,,,,,,,,,3.1) LOCAL CONTENT,"#,0.0",3.1.1) Availability of basic information in the local language{NL}3.1.2) Concentration of websites using country-level domains{NL}3.1.3) Availability of e-Government services in the local language{NL},RELEVANCE,,COMPOSITE SUB-CATEGORY SCORE{NL}{NL}Local content measures the availability of Internet content in the local language(s).{NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}3.1.1) Availability of basic information in the local language{NL}3.1.2) Concentration of websites using country-level domains{NL}3.1.3) Availability of e-Government services in the local language{NL}{NL}{NL}SOURCE{NL}EIU calculation,,COMPOSITE SUB-CATEGORY SCORE,,1,0.5
40,QLLC,RELEVANCE_01,3,1,0,3.1.1,Availability of basic information in the local language,"Qualitative rating 0-3, 3=best",EIU,Does the country have any domestic news websites that provide information online in local languages?,"Assesses whether there is local news for the largest metropolitan area in local languages, including both official and non-official languages. For countries with more than one official language, the justification covers each of the official languages. Non-official languages may include native, indigenous or minority languages (eg, immigrant populations) commonly spoken but not recognized as official languages. The availability of online news in non-official languages can help to empower native and minority communities to produce their own culturally and locally relevant online content.

Note: This indicator was updated in the fourth edition.  It was previously scored on a 0-2 scale. An additional scoring option has been included to reward countries with online news sites in non-official languages.",0,3,NO,1,3,0,3,,2,0,"No, there are no news websites in any official or non-official language(s)","Yes, there are news websites in some of the official languages","Yes, there are news websites in all official languages OR there is only one official language and there are news websites in this language BUT there are no news websites in non-official languages","Yes, there are news websites in all official languages OR there is only one official language and there are news websites in this language AND there are also news websites in at least one non-official language",,,,,3.1.1) Availability of basic information in the local language,"#,##0",3.1.1) Availability of basic information in the local language{NL}3.1.2) Concentration of websites using country-level domains{NL}3.1.3) Availability of local language keyboard on devices{NL}3.1.4) Availability of e-Government services in the local language{NL},RELEVANCE -> LOCAL CONTENT,,"QUALITATIVE DATA INDICATOR{NL}{NL}Does the country have any domestic news websites that provide information online in local languages?{NL}{NL}Assesses whether there is local news for the largest metropolitan area in local languages, including both official and non-official languages. For countries with more than one official language, the justification covers each of the official languages. Non-official languages may include native, indigenous or minority languages (eg, immigrant populations) commonly spoken but not recognized as official languages. The availability of online news in non-official languages can help to empower native and minority communities to produce their own culturally and locally relevant online content.

Note: This indicator was updated in the fourth edition.  It was previously scored on a 0-2 scale. An additional scoring option has been included to reward countries with online news sites in non-official languages.{NL}{NL}UNDERLYING DATA SERIES{NL}Availability of basic information in the local language, Qualitative rating 0-3, 3=best{NL}{NL}0 = No, there are no news websites in any official or non-official language(s){NL}1 = Yes, there are news websites in some of the official languages{NL}2 = Yes, there are news websites in all official languages OR there is only one official language and there are news websites in this language BUT there are no news websites in non-official languages{NL}3 = Yes, there are news websites in all official languages OR there is only one official language and there are news websites in this language AND there are also news websites in at least one non-official language{NL}{NL}SOURCE{NL}EIU",,QUALITATIVE DATA INDICATOR,,1,0.4
41,NWLL,RELEVANCE_01,3,1,0,3.1.2,Concentration of websites using country-level domains,"Qualitative rating 0-3, 3=best",Alexa Internet,What percent of websites in the top 25 most-visited websites use a ccTLD?,"Top-level domains (TLDs) are set forth by the international organization, ICANN. TLDs with two letters (such as .de, .mx, and .jp) have been established for over 250 countries and external territories and are referred to as ""country-code"" TLDs or ""ccTLDs"". Importantly the significance is that, according to ICANN, ccTLDs are delegated to ""designated managers, who operate the ccTLDs according to local policies that are adapted to best meet the economic, cultural, linguistic, and legal circumstances of the country or territory involved."" 
",0,3,Yes,1,3,0,3,,2,0,"No websites in the top 25 sites are local sites, or there is not enough data to determine the number of local sites",1-2 websites out of the top 25 are local sites,3-5 websites out of the top 25 are local sites,More than 5 of the top 25 websites are local sites,,,,,3.1.2) Concentration of websites using country-level domains,"#,##0",,RELEVANCE -> LOCAL CONTENT,,"QUALITATIVE DATA INDICATOR{NL}{NL}What percent of websites in the top 25 most-visited websites use a ccTLD?{NL}{NL}Top-level domains (TLDs) are set forth by the international organization, ICANN. TLDs with two letters (such as .de, .mx, and .jp) have been established for over 250 countries and external territories and are referred to as ""country-code"" TLDs or ""ccTLDs"". Importantly the significance is that, according to ICANN, ccTLDs are delegated to ""designated managers, who operate the ccTLDs according to local policies that are adapted to best meet the economic, cultural, linguistic, and legal circumstances of the country or territory involved."" 
{NL}{NL}UNDERLYING DATA SERIES{NL}Concentration of websites using country-level domains, Qualitative rating 0-3, 3=best{NL}{NL}0 = No websites in the top 25 sites are local sites, or there is not enough data to determine the number of local sites{NL}1 = 1-2 websites out of the top 25 are local sites{NL}2 = 3-5 websites out of the top 25 are local sites{NL}3 = More than 5 of the top 25 websites are local sites{NL}{NL}SOURCE{NL}Alexa Internet",,QUALITATIVE DATA INDICATOR,,0.5,0.2
42,QLID,RELEVANCE_01,3,1,0,3.1.3,Availability of e-Government services in the local language,"Qualitative rating 0-2, 2=best",EIU,"Does the government of the largest city in the country have a website that offers transactional services, including applying for a business license or permit?","Assesses whether there is a local government website available for the largest city in the country and whether the site offers transactional services that can include: applying for any type of license or permit, registering for programs/services and paying bills and fees. If the city website provides downloadable applications, but the process is not entirely online, the country scores a 1. In order to score a 2, the entire process must be online.",0,2,Yes,1,3,0,2,,2,0,"No, the government of the largest city in the country does not have a website","Yes, the government of the largest city in the country does have a website but it does not allow for conducting transactional services online","Yes, the government of the largest city in the country does have a website and it does allow for conducting transactional services online",,,,,,3.1.3) Availability of e-Government services in the local language,"#,##0",3.2.1) e-Finance content{NL}3.2.2) Value of e-finance{NL}3.2.3) e-Health content{NL}3.2.4) Value of e-health{NL}3.2.5) e-Entertainment usage{NL}3.2.6) e-Commerce content{NL}3.2.7) Value of e-Commerce{NL},RELEVANCE -> LOCAL CONTENT,,"QUALITATIVE DATA INDICATOR{NL}{NL}Does the government of the largest city in the country have a website that offers transactional services, including applying for a business license or permit?{NL}{NL}Assesses whether there is a local government website available for the largest city in the country and whether the site offers transactional services that can include: applying for any type of license or permit, registering for programs/services and paying bills and fees. If the city website provides downloadable applications, but the process is not entirely online, the country scores a 1. In order to score a 2, the entire process must be online.{NL}{NL}UNDERLYING DATA SERIES{NL}Availability of e-Government services in the local language, Qualitative rating 0-2, 2=best{NL}{NL}0 = No, the government of the largest city in the country does not have a website{NL}1 = Yes, the government of the largest city in the country does have a website but it does not allow for conducting transactional services online{NL}2 = Yes, the government of the largest city in the country does have a website and it does allow for conducting transactional services online{NL}{NL}SOURCE{NL}EIU",,QUALITATIVE DATA INDICATOR,,1,0.4
43,RELEVANCE_02,RELEVANCE,2,0,0,3.2,Relevant Content,,,"Relevant content measures the availability of news, finance, health, entertainment and business information. While the definition of ""relevant"" can vary, these types of content are common. ""e-Content"" refers to electronic or mobile content. ",,,,,1,1,,,,,1,,,,,,,,,3.2) RELEVANT CONTENT,"#,0.0",3.2.1) e-Finance content{NL}3.2.2) Value of e-finance{NL}3.2.3) e-Health content{NL}3.2.4) Value of e-health{NL}3.2.5) e-Entertainment usage{NL}3.2.6) e-Commerce content{NL}3.2.7) Value of e-Commerce{NL}3.2.8) Open data policies{NL},RELEVANCE,,"COMPOSITE SUB-CATEGORY SCORE{NL}{NL}Relevant content measures the availability of news, finance, health, entertainment and business information. While the definition of ""relevant"" can vary, these types of content are common. ""e-Content"" refers to electronic or mobile content. {NL}{NL}SCORE CALCULATION{NL}Score is the weighted average of the following indicator scores:{NL}{NL}3.2.1) e-Finance content{NL}3.2.2) Value of e-finance{NL}3.2.3) e-Health content{NL}3.2.4) Value of e-health{NL}3.2.5) e-Entertainment usage{NL}3.2.6) e-Commerce content{NL}3.2.7) Value of e-Commerce{NL}3.2.8) Open data policies{NL}{NL}{NL}SOURCE{NL}EIU calculation",,COMPOSITE SUB-CATEGORY SCORE,,1,0.5
