id,IndicatorName,min,max,invert,weighting,Unit,Source,Description,Notes,Pre_Round,ScoringSystem,ScoringParameter_1,ScoringParameter_2,ScoringParameter_3,Data_Type,DP,ZERO,ONE,TWO,THREE,FOUR,FIVE,SIX
4.3.5a,Spectrum policy approach: Technology-neutrality policy for spectrum use,0,1,,0.076923077,"Qualitative rating 0-1, 1=best",EIU,Does the country have a policy that addresses technology-neutrality for spectrum use?,"Assesses the country's ability to expand broadband connectivity by way of gauging operator flexibility within a country's spectrum policy to migrate to the next generation of network technology. Higher prices, poorer service, lost productivity, loss of competitive advantage and untapped innovation can all be outcomes of preventing flexibility. Technology Neutrality is a policy approach that allows the use of any technology in any spectrum band. That means, with technology neutrality in place, mobile operators can offer services through any technology (2G/3G/4G/LTE) using any of the frequencies in their possessions (""refarming""). The freedom to deploy network of any technology using the available spectrum brings overall efficiency which culminates to benefits of mobile phone users of this country.",Yes,3,0,1,,2,0,"No, the government does not have a technology-neutrality policy for spectrum use","Yes, the government has a technology-neutrality policy for spectrum use",,,,,
4.3.5b,Spectrum policy approach: Unlicensed spectrum policy,0,1,,0.076923077,"Qualitative rating 0-1, 1=best",EIU,Does the country have a policy that addresses using unlicensed spectrum for greater wi-fi access?,"Assesses the country's ability to expand broadband connectivity by way of assessing the country's openness to provisioning unlicensed spectrum for greater wi-fi access and other productive uses. Higher prices, poorer service, lost productivity, loss of competitive advantage and untapped innovation can all be outcomes of preventing flexibility.",Yes,3,0,1,,2,0,"No, the government does not have a policy that addresses the use of unlicensed spectrum for greater wi-fi access","Yes, the government has a policy that addresses the use of unlicensed spectrum for greater wi-fi access",,,,,
4.3.6,National digital identification system,0,2,,0.153846154,"Qualitative rating 0-2, 2=best",World Bank,Does the country have a national digital identification (e-ID) system to be used online to access government services?,Assesses whether the country has a national digital identification system.,Yes,3,0,2,,2,0,No National ID,National ID exists but it is NOT e-ID,National ID exists and it IS e-ID (at least partially),,,,
4.3.7,Government efforts to promote 5G,0,3,,0.076923077,"Qualitative rating 0-3, 3=best",EIU,"Has the government developed a policy, strategy or initiatives to promote 5G?","Assesses whether the country has developed a strategy or initiatives to promote 5G. Countries receive a higher score if the policy or strategy recognizes multiple use cases of 5G. Multiple use cases may include the following: fixed wireless access (FWA), enhanced mobile broadband (eMBB), massive machine-type communications (mMTC), Internet of Things (IoT) or ultra-reliable low-latency communications (URLLC). Other use cases or applications may also apply if specifically mentioned (eg. 5G for precision agriculture, smart city/home applications, autonomous vehicle applications). Note that policies, strategies or initiatives may be embodied across a number of documents (eg, policy or strategy documents, government committee notes). This indicator was included for the first time in the fourth edition.",NO_NEW,3,0,3,,2,0,"No, the government has not developed a policy, strategy or initiatives to promote 5G","Yes, the government has developed a policy, strategy or initiatives to promote 5G but does not specifically mention any of the following use-case applications (FWA, eMBB, mMTC, IoT, URLLC)","Yes, the government has a policy, strategy or initiatives to promote 5G and specifically mentions one of the following use-case applications (FWA, eMBB, mMTC, IoT, URLLC)","Yes, the government has a policy or strategy to promote 5G network development and it specifically mentions more than one of the following use-case applications (FWA, eMBB, mMTC, IoT, URLLC)",,,
,,,,,,,,,,,,,,,,,,,,,,,
BG1,Nominal GDP,3.1,20580.3,,,USD billions,EIU,Measures the total economic value of a country,Countries with higher GDP typically have higher purchasing power for ICT.,Yes,2,,,,1,1,,,,,,,
BG2,Population,1.3,1385,,,Millions,EIU,Measures the population of the country,-,Yes,2,,,,1,1,,,,,,,
BG3,Urban population,13,100,,,% of total population,EIU; World Bank,Measures the percentage of the population living in urban areas,-,Yes,2,,,,1,1,,,,,,,
BG4,GNI per capita,280,62850,,,US$ per person,"National Statistics, Republic of China (Taiwan); UN; World Bank, WDI",Measures gross national income per capita (Atlas method),Higher income increases the chances for affordability of access.,Yes,2,,,,1,0,,,,,,,
BG5,GINI coefficient,26.5,63,true,,"Score, 0-100; 0 is perfect equality; 100 is perfect inequality",CIA World Factbook; EIU; World Bank,Measures the income distribution (inequality) by country,"Gini index measures the extent to which the distribution of income (or, in some cases, consumption expenditure) among individuals or households within an economy deviates from a perfectly equal distribution. A Lorenz curve plots the cumulative percentages of total income received against the cumulative number of recipients, starting with the poorest individual or household. The Gini index measures the area between the Lorenz curve and a hypothetical line of absolute equality, expressed as a percentage of the maximum area under the line. Thus a Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality.",Yes,2,,,,1,1,,,,,,,
BG6,Population under the poverty line,0,39,true,,% of population,EIU; World Bank,Measures the percentage of the population living under the poverty line at $1.90/day,"Poverty gap at $1.90 a day (2011 PPP) is the mean shortfall in income or consumption from the poverty line $1.90 a day (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.",Yes,2,,,,1,1,,,,,,,
BG7,Total electricity access,10.6,100,,,% of population,WEO-IEA; World Bank; World Energy Council,Total population with access to electricity,"Access to electricity is the percentage of population with access to electricity. Electrification data are collected from industry, national surveys and international sources.",Yes,2,,,,1,2,,,,,,,
BG8,Cable landing stations,0,73,,,Number of cable landing stations per 10 million inhabitants,EIU; Telegeography,Measures the number of cable landing stations in each country,"Cable landing stations are the pieces of network infrastructure where submarine cables make landfall. Landlocked countries do not have access to cable landing stations. As such, landlocked countries receive the simple average of all countries in the series.",Yes,2,,,,1,1,,,,,,,
BG9,Percentage of schools with Internet access,0.7,100,,,% of schools,EIU; ITU; Ministry of Education and Science; NCC; Statistics Canada; UNESCO,What percentage of secondary schools in the country have access to the internet?,"The proportion of secondary educational institutions with any type of Internet connection, whereby the Internet is defined as: worldwide interconnected networks that enable users to share information in an interactive format _ referred to as hypertext _ through multiple wired or wireless devices (personal computers, laptops, PDAs, smartphones, etc.) via broadband and narrowband connections. Where data gaps existed, data on primary educational institutions were collected.",Yes,2,,,,1,1,,,,,,,
BG10,Global Peace Index,1.2,3.1,true,,"Score, 1-5; 1 = best",EIU; Institute for Economics and Peace,A framework for understanding the drivers of sustainable peace.,-,Yes,2,,,,1,1,,,,,,,
BG11,Democracy Index,1.9,9.4,,,"Score, 0-10; 10 = best",EIU,A framework for measuring the quality of democracy and the biggest threats to sustaining democracy.,,Yes,2,,,,1,1,,,,,,,
BG12,Corruption Perceptions Index,16,88,,,"Score, 0-100; 100 = best",Transparency International,Measures the perceived levels of public sector corruption worldwide,-,Yes,2,,,,1,1,,,,,,,
BG13,EIU Business Environment Rankings,3.5,8.5,,,"Score, 1-10, 10 = high",EIU,Measures ten separate criteria or categories on the health of the business environment,"The EIUs business environment rankings quantify the attractiveness of the business environment. The business rankings model examines ten separate criteria or categories, covering the political environment, the macroeconomic environment, market opportunities, policy towards free enterprise and competition, policy towards foreign investment, foreign trade and exchange controls, taxes, financing, the labour market and infrastructure. ",Yes,2,,,,1,1,,,,,,,
BG14,UN E-Government Development Index,0.2,0.9,,,"Score, 0-1; 1 = best",EIU; UN E-Government Development Index score,Measures trends in the development of e-government across the world,-,Yes,2,,,,1,1,,,,,,,
BG15,Internet users (population),0.17,721.43,,,Millions,Internet Live Stats; Internet World Stats,Number of Internet users,-,Yes,2,,,,1,2,,,,,,,
BG16,Offline population,0.11,864.68,true,,Millions,Internet Live Stats; Internet World Stats,Number of people offline,-,Yes,2,,,,1,2,,,,,,,
BG17,Internet access gender gap,-9.9,48.6,true,,Difference in percentage points,EIU; Gallup World Poll; ITU,Gap between female and male access to the Internet in percentage points,"This indicator is an alternative measure of the gap in internet access between male and females. This indicator measures the difference in access between males and females in percentage points.

Positive number = males have better access, negative number = females have better access, zero = parity.",Yes,2,,,,1,1,,,,,,,
BG18,Mobile phone access gender gap,-3,58,true,,Difference in percentage points,EIU; Gallup World Poll,Gap between female and male access to mobile phone in percentage points,"This indicator is an alternative measure of the gap in mobile phone access between male and females. This indicator measures the difference in access between males and females in percentage points.

Positive number = males have better access, negative number = females have better access, zero = parity.",Yes,2,,,,1,1,,,,,,,
BG19,Internet users (percent of population),2.7,99.7,,,% of population,ITU,Percentage of individuals using the Internet,-,Yes,2,,,,1,1,,,,,,,
BG20,Male internet users,15,99.5,,,% of male population,EIU; Gallup World Poll; ITU,Percentage of males with access to the Internet,-,Yes,2,,,,1,1,,,,,,,
BG21,Female internet users,10,99.8,,,% of female population,EIU; Gallup World Poll; ITU,Percentage of females with access to the Internet,-,Yes,2,,,,1,1,,,,,,,
BG22,Male mobile phone subscribers,40,100,,,% of male population,EIU; Gallup World Poll,Percentage of males that have a mobile phone to make and receive personal calls,-,Yes,2,,,,1,1,,,,,,,
BG23,Female mobile phone subscribers,27,100,,,% of female population,EIU; Gallup World Poll,Percentage of females that have a mobile phone to make and receive personal calls,-,Yes,2,,,,1,1,,,,,,,
BG24,Total fixed line broadband subscribers,3935,407382000,,,Number of subscriptions,ITU,Number of fixed line broadband subscriptions,-,Yes,2,,,,1,0,,,,,,,
