id,description,invert,diverging,type,weighting,min,max,unit,source,long-description,notes,zero,one,two,three,four,five,six
4.3.1,National female e-inclusion policies,,,,0.1334488735,0,4,"Qualitative rating 0-4, 4=best",Economist Impact country research,Data value is calculated as the sum of the following three sub-indicators:<br>4.3.1.1. Does the government have an active plan or strategy to promote Internet access and e-inclusion for women? (Scored 0-2)<br>4.3.1.2. Does the government have an action plan to provide digital skills training for women? (Scored 0-1)<br>4.3.1.3.Does the government have a policy in place that encourages women and girls to study STEM? (Scored 0-1),"Assesses whether strategies addressing e-inclusion of females exist that help address gender digital divides. The indicator examines whether e-inclusion strategies exist that address 1) female Internet access and adoption, 2) digital skills, and 3) encourage STEM education",Sub-indicator score total 0/4,Sub-indicator score total 1/4,Sub-indicator score total 2/4,Sub-indicator score total 3/4,Sub-indicator score total 4/4,,
4.3.1.1,Comprehensive female e-inclusion plan,,,,0.5,0,2,"Qualitative rating 0-2, 2=best",Economist Impact country research,Does the government have an active plan or strategy to promote Internet access and e-inclusion for women?,"Assesses whether strategies addressing e-inclusion of females exist that help address gender digital divides. The indicator will examine whether e-inclusion strategies exist that address female Internet access and adoption.<br><br>Countries that score a 2 on this indicator have gender parity or a gender gap that is below the 10% threshold, regardless of an e-inclusion plan targeting women. Countries that score a 1 on this indicator have an e-inclusion policy but the gender gap is above the 10% threshold. Economist Impact determined that the scoring thresholds should be based on a gender gap ratio of at least 10% based on data analysis as well as metrics used by ITU and GSMA to measure the gender gap.","No, the government does not have an active plan or strategy to promote internet access and e-inclusion for females, and the gender gap in internet access is greater than 10%","Yes, the government has an active plan or strategy to promote internet access and e-inclusion for females, but the gender gap in internet access is greater than 10%","Yes, the government has an active plan or strategy to promote internet access and e-inclusion for females, and / or there is gender parity or the gap between male and female internet access is less than 10%",,,,
4.3.1.2,Female digital skills training plan,,,,0.25,0,1,"Qualitative rating 0-1, 1=best",Economist Impact country research,Does the government have an action plan to provide digital skills training for women?,Assesses whether strategies addressing e-inclusion of females exist that help address gender digital divides. The indicator will examine whether e-inclusion strategies exist that address digital skills training for women.,"No, the government does not have an action plan or strategy to provide digital skills training for women","Yes, the government has an action plan or strategy to provide digital skills training for women",,,,,
4.3.1.3,Female STEM education plan,,,,0.25,0,1,"Qualitative rating 0-1, 1=best",Economist Impact country research,Does the government have a policy in place that encourages women and girls to study STEM?,Assesses whether policies or government initiatives exist that encourage the study of STEM fields for females.,"No, the government does not have a policy to promote STEM education for females","Yes, the government has a policy to promote STEM education for females",,,,,
4.3.2,Government e-inclusion strategy,,,,0.1334488735,0,2,"Qualitative rating 0-2, 2=best",Economist Impact country research,Does the government have any current initiatives or strategies in place that address e-inclusion – the inclusion and promotion of Internet access for underserved groups?,Assesses whether the country has any initiatives or plans that address e-inclusion. Underserved groups include: Elderly; Youth; Low-income; Women; Ethnic minorities; Disabled.,The government does not have any current initiatives or strategies in place that address Internet access for underserved groups,The government has current initiatives or strategies in place that address Internet access for 1-2 underserved groups,The government has current initiatives or strategies in place that address Internet access for 3 or more underserved groups,,,,
4.3.3,National broadband strategy,,,,0.1334488735,0,3,"Qualitative rating 0-3, 3=best",Economist Impact country research,Does the government have a current national broadband strategy?,"Assesses whether or not the country has a current national broadband strategy. ""Current"" means that the national strategy has been published or updated within the past two years or within the past five years, with a higher score being given to the former.<br>Note: This indicator was updated in the fourth edition. Whereas the indicator previously assessed the presence of a national broadband strategy and whether or not the strategy included a target penetration rate, it now assesses the status of a national broadband strategy (i.e., is there a strategy and is it current?) that is technology neutral (i.e., the strategy may emphasize fixed broadband or mobile broadband, or both).","No, the government does not have a national broadband strategy","Yes, the government has a national broadband strategy, but it was not published within the past 5 years","Yes, the government has a national broadband strategy that was published within the past 5 years","Yes, the government has a national broadband strategy that was published within the past 2 years",,,
4.3.4,Funding for broadband buildout,,,,0.1334488735,0,1,"Qualitative rating 0-1, 1=best",Economist Impact country research,Do government programs exist to help subsidize or provide incentives for broadband buildout in underserved areas?,"Assesses whether the country has an active government program(s) that helps subsidize or incentivize the buildout of broadband networks. Revised from an indicator only looking at Universal Service Funds (USF) as a method for improving broadband buildout, this indicator expands the scope of the question by addressing other financing options including USFs, in addition to tax credits, low-interest loans, and other government funding sources. This indicator helps address the principle that all citizens should have access to a baseline level of telecommunications services within a country.","No, government programs do not exist to help subsidize or provide incentives for broadband buildout in underserved areas","Yes, government programs exist to help subsidize or provide incentives for broadband buildout in underserved areas",,,,,
4.3.5,Technology-neutrality policy for spectrum use,,,,0.09965337955,0,1,"Qualitative rating 0-1, 1=best",Economist Impact country research,Does the country have a policy that addresses technology-neutrality for spectrum use?,"Assesses the country's ability to expand broadband connectivity by way of gauging operator flexibility within a country's spectrum policy to migrate to the next generation of network technology. Higher prices, poorer service, lost productivity, loss of competitive advantage and untapped innovation can all be outcomes of preventing flexibility. Technology Neutrality is a policy approach that allows the use of any technology in any spectrum band. That means, with technology neutrality in place, mobile operators can offer services through any technology (2G/3G/4G/LTE) using any of the frequencies in their possessions (""refarming""). The freedom to deploy network of any technology using the available spectrum brings overall efficiency which culminates to benefits of mobile phone users of this country.","No, the government does not have a technology-neutrality policy for spectrum use","Yes, the government has a technology-neutrality policy for spectrum use",,,,,
4.3.6,National digital identification system,,,,0.1334488735,0,2,"Qualitative rating 0-2, 2=best",World Bank,Does the country have a national digital identification (e-ID) system to be used online to access government services?,Assesses whether the country has a national digital identification system.,No National ID,National ID exists but it is NOT e-ID,National ID exists and it IS e-ID (at least partially),,,,
4.3.7,Government efforts to promote 5G,,,,0.09965337955,0,3,"Qualitative rating 0-3, 3=best",Economist Impact country research,"Has the government developed a policy, strategy or initiatives to promote 5G?","Assesses whether the country has developed a strategy or initiatives to promote 5G. Countries receive a higher score if the policy or strategy recognizes multiple use cases of 5G. Multiple use cases may include the following: fixed wireless access (FWA), enhanced mobile broadband (eMBB), massive machine-type communications (mMTC), Internet of Things (IoT) or ultra-reliable low-latency communications (URLLC). Other use cases or applications may also apply if specifically mentioned (e.g. 5G for precision agriculture, smart city/home applications, autonomous vehicle applications). Note that policies, strategies or initiatives may be embodied across a number of documents (e.g., policy or strategy documents, government committee notes). This indicator was included for the first time in the fourth edition.","No, the government has not developed a policy, strategy or initiatives to promote 5G","Yes, the government has developed a policy, strategy or initiatives to promote 5G but does not specifically mention any of the following use-case applications (FWA, eMBB, mMTC, IoT, URLLC)","Yes, the government has a policy, strategy or initiatives to promote 5G and specifically mentions one of the following use-case applications (FWA, eMBB, mMTC, IoT, URLLC)","Yes, the government has a policy or strategy to promote 5G network development and it specifically mentions more than one of the following use-case applications (FWA, eMBB, mMTC, IoT, URLLC)",,,
4.3.8,Online harassment/bullying prevention,,,,0.1334488735,0,2,"Qualitative rating 0-2, 2=best",Economist Impact country research,Does the country collect and publish incidents of online harassment/bullying?,,"No, the country does not collect data nor does it publish statistics","Yes, the country does collect data for online harassment, but does not publish statistics","Yes, the country does collect data for online harassment and does publish statistics",,,,
BG1,Nominal GDP,,,,0,3,22752,,,,,,,,,,,
BG2,Population,,,,0,1.3,1422,,,,,,,,,,,
BG3,Urban population,,,,0,16.3,100,,,,,,,,,,,
BG4,GNI per capita,,,,0,340,85800,,,,,,,,,,,
BG5,GINI coefficient,true,,,0,26,63,,,,,,,,,,,
BG6,Population under the poverty line,true,,,0,0,40.3,,,,,,,,,,,
BG7,Total electricity access,,,,0,11,100,,,,,,,,,,,
BG8,Cable landing stations,,,,0,0,73,,,,,,,,,,,
BG9,Percentage of schools with Internet access,,,,0,0,100,,,,,,,,,,,
BG10,Global Peace Index,true,,,0,1.2,3.3,,,,,,,,,,,
BG11,Democracy Index,,,,0,1.1,9.5,,,,,,,,,,,
BG12,Corruption Perceptions Index,,,,0,12,91,,,,,,,,,,,
BG13,EIU Business Environment Rankings,,,,0,2.9,8.5,,,,,,,,,,,
BG14,UN E-Government Development Index,,,,0,0.2,1,,,,,,,,,,,
BG15,Internet users (population),,,,0,0.34,994.12,,,,,,,,,,,
BG16,Offline population,true,,,0,0,1087.43,,,,,,,,,,,
BG17,Internet access gender gap,true,,,0,-14.4,28,,,,,,,,,,,
BG18,Mobile phone access gender gap,true,,,0,-9,59,,,,,,,,,,,
BG19,Internet users (percent of population),,,,0,3.8,100,,,,,,,,,,,
BG20,Male internet users,,,,0,7,100,,,,,,,,,,,
BG21,Female internet users,,,,0,4,99.3,,,,,,,,,,,
BG22,Male mobile phone subscribers,,,,0,18,100,,,,,,,,,,,
BG23,Female mobile phone subscribers,,,,0,23,100,,,,,,,,,,,
BG24,Total fixed line broadband subscribers,,,,0,1000,483549500,,,,,,,,,,,
